Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,mean Node
20000117,296.1662224,57.921841,296.7717745,260.4150571,339.9762727,26.2769106,40.3101271,315.6344616,303.7638334,251.9635978,124.2200025
20000118,297.1842975,72.5792139,298.4394538,261.637295,340.7497338,26.3686984,40.3201246,315.690248,303.8016026,251.9936072,124.1670752
20000119,298.202173,87.4800605,300.115691,262.8601678,341.5228915,26.4634301,40.332003,315.7462801,303.839444,252.0232438,124.1141603
20000120,299.2198479,102.5061131,301.8005057,264.0836623,342.295726,26.5610641,40.3457488,315.8025388,303.8773422,252.0524936,124.0612502
20000121,300.2373237,117.5162414,303.4938496,265.3077639,343.0682193,26.6615577,40.3613467,315.859003,303.9152802,252.0813411,124.0083351
20000122,301.2546049,132.3660391,305.1955939,266.532458,343.8403578,26.7648714,40.3787832,315.9156535,303.9532445,252.1097718,123.9554067
20000123,302.2717002,146.9286958,306.9055152,267.7577317,344.6121347,26.8709709,40.398049,315.9724754,303.9912316,252.1377758,123.9024611
20000124,303.2886209,161.1112679,308.6232754,268.9835737,345.3835492,26.9798281,40.4191403,316.0294587,304.0292789,252.1653477,123.8494994
20000125,304.305378,174.8627373,310.3483972,270.2099726,346.1546046,27.0914195,40.4420574,316.0865972,304.066807,252.1924862,123.7965264
20000126,305.3219799,188.1736593,312.0802354,271.4369157,346.9253048,27.2057234,40.4668016,316.143886,304.1049416,252.2191911,123.7435486
20000127,306.3384298,201.0697667,313.8179441,272.6643872,347.6956518,27.3227175,40.4933738,316.2013193,304.1429383,252.2454618,123.6905719
20000128,307.3547262,213.6027065,315.5604412,273.8923683,348.4656447,27.4423776,40.5217724,316.2588897,304.1808986,252.271296,123.6376006
20000129,308.3708621,225.8405156,317.3063675,275.1208374,349.2352794,27.5646772,40.5519938,316.3165875,304.2188342,252.2966899,123.5846373
20000130,309.3868268,237.8593392,319.054042,276.3497708,350.0045489,27.6895877,40.5840319,316.3744014,304.2567416,252.3216377,123.5316827
20000131,310.402606,249.7369284,320.8014102,277.5791434,350.7734436,27.8170785,40.6178786,316.4323187,304.294613,252.3461326,123.4787365
20000201,311.4181825,261.54786,322.5459866,278.8089286,351.5419516,27.9471171,40.6535238,316.4903251,304.332438,252.3701665,123.4257966
20000202,312.4335363,273.3601936,324.2847918,280.0390993,352.3100592,28.0796699,40.690956,316.5484059,304.3702053,252.3937306,123.3728605
20000203,313.4486455,285.2332716,326.0142853,281.2696275,353.0777509,28.2147018,40.7301622,316.6065461,304.4079025,252.4168156,123.3199247
20000204,314.4634862,297.2164694,327.7302939,282.5004856,353.8450104,28.352177,40.7711286,316.6647321,304.4455168,252.439412,123.2669857
20000205,315.4780337,309.3488073,329.4279411,283.7316463,354.61182,28.4920594,40.8138407,316.7229538,304.4830357,252.4615108,123.21404
20000206,316.4922626,321.6593998,331.1015776,284.9630837,355.3781622,28.6343129,40.8582841,316.7811483,304.5204473,252.4831039,123.1610851
20000207,317.5061481,334.168693,332.7447216,286.1947742,356.1440197,28.778902,40.9044452,316.8391779,304.5577411,252.5041849,123.1081197
20000208,318.5196669,346.8903312,334.3500106,287.4266971,356.9093761,28.9257927,40.952311,316.8973837,304.5949087,252.5247494,123.0551446
20000209,319.5327979,359.8333268,335.9091757,288.6588357,357.6742165,29.0749522,41.0018703,316.955551,304.6319435,252.5447955,123.0021624
20000210,320.5455228,13.0040235,337.4130436,289.8911766,358.4385272,29.2263488,41.0531123,317.0136704,304.6688409,252.5643232,122.9491776
20000211,321.5578258,26.4072319,338.8515764,291.1237102,359.2022954,29.3799514,41.106027,317.0717394,304.7055976,252.5833338,122.8961957
20000212,322.5696937,40.0459413,340.2139572,292.3564293,359.9655085,29.5357287,41.1606034,317.1297526,304.7422102,252.6018291,122.8432223
20000213,323.5811153,53.9192146,341.4887282,293.5893288,0.7281537,29.693648,41.2168287,317.1877028,304.7786746,252.6198098,122.7902616
20000214,324.5920808,68.0182806,342.6639866,294.8224038,1.4902166,29.8536741,41.2746875,317.24558,304.8149841,252.6372745,122.7373155
20000215,325.6025815,82.3214134,343.7276396,296.0556494,2.2516812,30.0157687,41.3341603,317.3033707,304.8511289,252.6542183,122.6843821
20000216,326.6126102,96.7888555,344.6677184,297.2890599,3.0125299,30.1798905,41.3952237,317.3610577,304.8870956,252.6706332,122.631456
20000217,327.6221627,111.3595997,345.4727473,298.5226296,3.7727456,30.3459966,41.4578521,317.418622,304.9228683,252.6865083,122.5785291
20000218,328.631239,125.9519813,346.1321585,299.7563542,4.5323137,30.5140453,41.52202,317.476044,304.9584315,252.7018329,122.5255932
20000219,329.6398453,140.4693776,346.6367449,300.9902327,5.2912252,30.6839985,41.5877047,317.5333072,304.9937719,252.7165985,122.4726422
20000220,330.6479945,154.8107926,346.9791348,302.2242677,6.0494777,30.8558243,41.6548883,317.5903992,305.0288806,252.7308012,122.4196748
20000221,331.6557035,168.8841829,347.1542764,303.4584644,6.8070753,31.0294961,41.723558,317.6473122,305.0637531,252.744441,122.3666937
20000222,332.6629909,182.6190933,347.1599096,304.6928284,7.5640256,31.2049916,41.7937042,317.7040412,305.0983879,252.7575213,122.3137047
20000223,333.6698734,195.975345,346.9970021,305.9273635,8.3203374,31.3822895,41.8653184,317.7605817,305.1327842,252.7700457,122.2607145
20000224,334.6763631,208.9461309,346.6701155,307.1620697,9.0760176,31.5613682,41.938391,317.8169281,305.1669397,252.7820173,122.2077287
20000225,335.6824665,221.5558836,346.187658,308.3969427,9.8310704,31.7422037,42.0129101,317.8730724,305.2008504,252.7934367,122.1547507
20000226,336.6881852,233.8546512,345.5619768,309.6319743,10.5854964,31.9247701,42.0888615,317.9290045,305.2345098,252.804303,122.101782
20000227,337.6935159,245.9109919,344.8092419,310.8671532,11.3392939,32.1090392,42.1662291,317.9847122,305.2679097,252.8146132,122.0488222
20000228,338.6984521,257.8048945,343.9490907,312.1024657,12.0924585,32.2949817,42.244995,318.0401822,305.3010405,252.8243634,121.9958696
20000229,339.702984,269.6214803,343.0040209,313.3378965,12.844984,32.4825668,42.3251399,318.0953998,305.3338918,252.8335489,121.9429216
20000301,340.7070996,281.445618,341.9985601,314.5734291,13.5968631,32.6717631,42.4066439,318.15035,305.3664525,252.8421647,121.8899752
20000302,341.7107847,293.3572434,340.95827,315.8090459,14.3480869,32.8625385,42.4894861,318.2050173,305.3987112,252.8502056,121.8370267
20000303,342.7140232,305.4270953,339.9086757,317.0447288,15.0986458,33.0548607,42.5736456,318.259386,305.4306567,252.8576666,121.7840729
20000304,343.7167976,317.7127232,338.8742257,318.2804594,15.8485297,33.2486977,42.6591013,318.3134414,305.4622782,252.8645434,121.7311107
20000305,344.7190896,330.2548977,337.8773799,319.51622,16.5977285,33.4440182,42.7458329,318.3671693,305.4935661,252.8708334,121.6781384
20000306,345.7208803,343.0749084,336.9379056,320.7519942,17.3462326,33.6407919,42.8338214,318.4205577,305.5245127,252.8765357,121.625156
20000307,346.7221519,356.1735044,336.072422,321.9877676,18.0940332,33.8389905,42.9230493,318.4735965,305.5551125,252.8816519,121.5721655
20000308,347.7228871,9.5322447,335.2941996,323.2235286,18.8411226,34.038587,43.0135009,318.5262781,305.5853622,252.8861861,121.5191712
20000309,348.7230702,23.1176092,334.6131876,324.4592676,19.5874938,34.2395557,43.1051611,318.5785964,305.6152603,252.8901442,121.4661787
20000310,349.7226865,36.8873826,334.0362226,325.6949773,20.3331393,34.4418707,43.1980149,318.6305457,305.6448055,252.8935329,121.4131942
20000311,350.7217217,50.7978884,333.5673613,326.9306509,21.0780503,34.6455046,43.2920455,318.6821194,305.6739958,252.8963575,121.360222
20000312,351.7201618,64.8100937,333.208283,328.1662816,21.8222158,34.8504277,43.3872332,318.7333085,305.7028264,252.8986214,121.3072642
20000313,352.7179933,78.8928066,332.9587165,329.4018621,22.5656228,35.0566071,43.4835551,318.7841009,305.7312897,252.9003245,121.2543194
20000314,353.715204,93.022096,332.8168545,330.6373849,23.3082563,35.2640075,43.5809849,318.8344818,305.7593749,252.901464,121.2013827
20000315,354.7117846,107.1772919,332.7797337,331.8728431,24.0501011,35.4725919,43.6794944,318.8844342,305.7870694,252.9020347,121.1484472
20000316,355.7077302,121.3350248,332.8435671,333.108232,24.7911442,35.6823244,43.7790555,318.9339414,305.8143602,252.9020313,121.0955054
20000317,356.7030423,135.4634443,333.0040233,334.3435507,25.5313763,35.8931716,43.8796421,318.982988,305.8412361,252.9014501,121.0425515
20000318,357.6977299,149.5188748,333.2564529,335.5788031,26.270794,36.1051046,43.9812318,319.0315623,305.8676891,252.9002904,120.9895825
20000319,358.6918089,163.4466133,333.5960657,336.8139974,27.0094001,36.3180997,44.0838069,319.0796565,305.8937152,252.8985555,120.9365997
20000320,359.6853002,177.1863231,334.0180646,338.0491451,27.7472022,36.5321373,44.1873532,319.1272657,305.9193135,252.8962517,120.8836072
20000321,0.6782271,190.6808548,334.5177443,339.2842587,28.4842112,36.7472008,44.291859,319.1743874,305.9444851,252.8933873,120.8306113
20000322,1.670612,203.8860206,335.0905603,340.5193491,29.2204387,36.9632741,44.3973129,319.2210184,305.9692309,252.8899705,120.7776181
20000323,2.662474,216.7785788,335.7321765,341.7544239,29.9558948,37.1803398,44.5037021,319.2671543,305.9935503,252.8860081,120.7246323
20000324,3.6538276,229.3605879,336.4384959,342.9894867,30.690587,37.3983786,44.6110117,319.3127881,306.0174405,252.8815048,120.6716562
20000325,4.6446827,241.6597544,337.2056778,344.224537,31.4245201,37.6173689,44.7192243,319.3579105,306.0408962,252.8764631,120.6186901
20000326,5.6350449,253.7266156,338.0301468,345.459571,32.1576961,37.8372871,44.828321,319.4025107,306.0639108,252.870884,120.5657327
20000327,6.6249163,265.6298824,338.9085929,346.6945825,32.8901156,38.0581085,44.9382813,319.4465764,306.0864762,252.8647677,120.5127812
20000328,7.6142964,277.4510855,339.837967,347.9295638,33.6217773,38.2798074,45.0490839,319.4900948,306.1085841,252.8581137,120.4598324
20000329,8.6031825,289.2791487,340.8154722,349.1645055,34.3526791,38.5023578,45.1607073,319.5330529,306.1302257,252.8509218,120.406883
20000330,9.5915701,301.2049829,341.8385522,350.3993976,35.0828183,38.7257335,45.2731297,319.5754376,306.1513925,252.8431918,120.3539295
20000331,10.5794529,313.3158383,342.9048794,351.6342296,35.8121916,38.9499084,45.3863293,319.6172366,306.1720764,252.8349244,120.3009691
20000401,11.5668234,325.6890541,344.0123407,352.8689906,36.5407957,39.1748568,45.5002852,319.658438,306.1922705,252.826121,120.2479996
20000402,12.553673,338.385063,345.1590252,354.1036698,37.2686274,39.4005542,45.6149773,319.6990316,306.2119688,252.8167851,120.1950201
20000403,13.539992,351.4400788,346.343211,355.3382573,37.9956843,39.6269773,45.7303871,319.7390092,306.2311679,252.806922,120.1420319
20000404,14.5257705,4.8597545,347.563353,356.5727443,38.7219648,39.8541046,45.846498,319.7783647,306.2498664,252.7965397,120.0890384
20000405,15.5109981,18.6159224,348.8180712,357.8071232,39.4474677,40.0819161,45.9632949,319.8170947,306.2680656,252.7856488,120.0360452
20000406,16.4956633,32.6486951,350.1061392,359.0413874,40.1721916,40.3103924,46.0807636,319.8551968,306.2857676,252.7742611,119.9830586
20000407,17.4797533,46.8750536,351.4264725,0.2755297,40.8961332,40.5395127,46.1988884,319.8926682,306.3029745,252.7623881,119.9300846
20000408,18.4632531,61.202629,352.778118,1.5095417,41.6192859,40.7692535,46.317651,319.9295038,306.3196857,252.7500388,119.8771262
20000409,19.4461459,75.5448901,354.1602441,2.7434131,42.3416395,40.9995876,46.4370288,319.965695,306.335897,252.7372187,119.8241823
20000410,20.4284148,89.8330704,355.5721332,3.9771323,43.0631806,41.2304841,46.5569957,320.0012298,306.3516008,252.7239295,119.7712483
20000411,21.4100446,104.021582,357.0131749,5.2106884,43.7838949,41.4619109,46.6775236,320.0360942,306.3667872,252.7101706,119.7183168
20000412,22.3910252,118.0864174,358.4828606,6.4440733,44.5037698,41.693836,46.7985842,320.0702741,306.3814464,252.6959413,119.6653803
20000413,23.3713531,132.0184442,359.9807779,7.6772834,45.2227962,41.9262305,46.9201517,320.1037575,306.3955703,252.6812425,119.6124326
20000414,24.3510326,145.8146056,1.5066046,8.9103203,45.9409708,42.1590696,47.0422039,320.1365357,306.409154,252.6660779,119.5594709
20000415,25.3300757,159.4699338,3.0601021,10.1431915,46.6582955,42.3923329,47.1647227,320.1686035,306.4221961,252.6504548,119.5064957
20000416,26.3085009,172.9725096,4.6411079,11.3759086,47.3747773,42.626004,47.2876933,320.1999587,306.4346983,252.6343835,119.4535102
20000417,27.2863312,186.3024512,6.2495275,12.608486,48.0904268,42.8600693,47.4111036,320.2306011,306.4466643,252.617876,119.4005198
20000418,28.2635915,199.4348771,7.8853261,13.840939,48.8052564,43.0945164,47.5349424,320.2605312,306.4580981,252.6009448,119.3475305
20000419,29.2403069,212.3457284,9.5485197,15.0732819,49.5192789,43.3293325,47.659198,320.2897485,306.4690033,252.5836018,119.2945474
20000420,30.2164999,225.0186435,11.239166,16.3055267,50.2325053,43.5645034,47.7838569,320.3182508,306.4793813,252.565857,119.2415738
20000421,31.1921903,237.4510252,12.957356,17.5376818,50.9449449,43.8000127,47.9089037,320.3460333,306.4892315,252.5477184,119.1886108
20000422,32.1673941,249.6579967,14.703204,18.7697529,51.6566045,44.0358419,48.0343208,320.3730897,306.4985515,252.5291919,119.1356576
20000423,33.1421242,261.6738079,16.4768377,20.0017428,52.3674891,44.2719708,48.1600892,320.3994118,306.507337,252.5102822,119.0827118
20000424,34.1163906,273.5509877,18.2783853,21.2336525,53.0776023,44.5083782,48.2861885,320.4249907,306.5155832,252.4909932,119.0297703
20000425,35.0902012,285.3578836,20.1079617,22.4654812,53.7869466,44.7450421,48.4125983,320.4498171,306.523285,252.4713286,118.9768292
20000426,36.0635623,297.1751733,21.9656507,23.6972275,54.4955242,44.9819406,48.5392975,320.4738818,306.5304373,252.4512924,118.9238853
20000427,37.0364787,309.0916215,23.8514849,24.9288894,55.2033369,45.2190516,48.6662659,320.4971763,306.5370358,252.4308891,118.8709354
20000428,38.008954,321.1989781,25.7654212,26.1604648,55.9103866,45.4563537,48.7934834,320.519693,306.543077,252.4101245,118.8179772
20000429,38.980991,333.5856227,27.7073131,27.3919515,56.6166754,45.6938261,48.9209309,320.5414254,306.5485587,252.3890055,118.7650098
20000430,39.9525914,346.3285171,29.6768783,28.6233474,57.3222062,45.9314493,49.0485907,320.5623687,306.5534802,252.3675407,118.7120334
20000501,40.9237559,359.483405,31.6736634,29.8546509,58.0269823,46.1692048,49.1764465,320.5825202,306.5578431,252.3457409,118.6590504
20000502,41.8944838,13.0741632,33.6970039,31.085861,58.7310079,46.4070761,49.3044838,320.6018795,306.5616513,252.3236194,118.6060653
20000503,42.8647729,27.083677,35.745982,32.3169767,59.4342871,46.6450477,49.4326896,320.6204484,306.5649107,252.3011916,118.5530845
20000504,43.8346177,41.449953,37.8193815,33.5479959,60.1368229,46.8831042,49.5610507,320.6382295,306.5676281,252.2784737,118.5001148
20000505,44.8040082,56.0710903,39.9156435,34.7789135,60.8386147,47.121228,49.689552,320.655224,306.5698087,252.2554804,118.447161
20000506,45.7729291,70.8201376,42.0328262,36.0097206,61.5396569,47.3593975,49.818174,320.6714294,306.5714541,252.2322226,118.3942242
20000507,46.7413607,85.5664268,44.1685724,37.240404,62.2399384,47.5975803,49.9468922,320.6868393,306.5725615,252.2087065,118.3413005
20000508,47.7092821,100.1965113,46.320089,38.4709491,62.939445,47.8356931,50.0756779,320.7014439,306.5731246,252.1849347,118.2883822
20000509,48.6766752,114.6280729,48.4840342,39.7013424,63.6381626,48.0737269,50.2044999,320.7152325,306.5731364,252.1609086,118.2354603
20000510,49.6435287,128.8138639,50.6572113,40.9315754,64.3360802,48.3117629,50.3333254,320.7281968,306.5725914,252.1366312,118.1825275
20000511,50.6098401,142.7370925,52.8350793,42.161646,65.0331928,48.5497102,50.4621297,320.7403321,306.5714882,252.1121088,118.1295802
20000512,51.5756159,156.4020521,55.0135097,43.3915588,65.7295016,48.7875359,50.5909106,320.7516378,306.5698292,252.0873517,118.0766183
20000513,52.5408702,169.8238766,57.1879113,44.621324,66.4250126,49.0252257,50.7196635,320.7621168,306.5676201,252.0623729,118.0236451
20000514,53.5056225,183.0201131,59.3535551,45.8509551,67.1197359,49.2627682,50.8483711,320.7717739,306.5648685,252.0371874,117.970666
20000515,54.4698959,196.0054374,61.5056749,47.080468,67.8136835,49.5001533,50.9770176,320.7806145,306.5615825,252.0118107,117.9176865
20000516,55.4337149,208.7897797,63.6395772,48.3098784,68.506868,49.7373701,51.1055904,320.7886434,306.5577698,251.9862574,117.8647118
20000517,56.397104,221.3794096,65.750747,49.5392014,69.1993016,49.9744065,51.234077,320.795864,306.5534366,251.9605408,117.8117457
20000518,57.3600864,233.7800801,67.8349397,50.7684502,69.8909952,50.2112485,51.3624635,320.8022779,306.5485873,251.9346723,117.75879
20000519,58.3226833,246.0011308,69.8882548,51.9976358,70.5819578,50.44788,51.4907339,320.8078846,306.543224,251.908661,117.7058445
20000520,59.2849142,258.0594988,71.9071868,53.2267671,71.2721971,50.6842832,51.6188707,320.8126819,306.5373474,251.8825147,117.6529072
20000521,60.2467962,269.9828596,73.8886513,54.4558514,71.9617194,50.9204386,51.746855,320.8166668,306.5309573,251.8562399,117.5999753
20000522,61.2083451,281.8114902,75.8299893,55.6848946,72.6505303,51.1563262,51.8746673,320.8198356,306.5240526,251.8298426,117.5470451
20000523,62.1695751,293.5987732,77.7289506,56.9139017,73.3386348,51.3919251,52.0022876,320.8221845,306.5166325,251.803329,117.4941129
20000524,63.1304995,305.4104393,79.5836635,58.1428774,74.0260376,51.6272147,52.1296962,320.8237104,306.5086965,251.7767055,117.4411755
20000525,64.0911308,317.3226272,81.3925917,59.3718261,74.712744,51.8621745,52.2568739,320.8244112,306.5002452,251.7499794,117.3882303
20000526,65.051481,329.4186805,83.1544868,60.6007526,75.3987597,52.096785,52.3838024,320.8242859,306.4912803,251.7231595,117.3352759
20000527,66.0115618,341.7843679,84.8683363,61.8296621,76.0840909,52.3310273,52.5104646,320.8233352,306.4818053,251.6962559,117.2823124
20000528,66.9713841,354.5010516,86.5333129,63.05856,76.7687449,52.5648837,52.6368445,320.8215617,306.4718252,251.6692805,117.2293415
20000529,67.9309578,7.636416,88.1487253,64.287452,77.4527293,52.7983376,52.7629277,320.8189699,306.4613471,251.6422472,117.1763666
20000530,68.8902915,21.2329738,89.713973,65.516344,78.1360524,53.0313732,52.8887009,320.8155666,306.4503802,251.6151717,117.123393
20000531,69.8493909,35.2958665,91.2285046,66.7452408,78.818722,53.2639756,53.0141521,320.8113598,306.4389352,251.5880715,117.0704272
20000601,70.8082571,49.7832763,92.6917802,67.9741443,79.5007436,53.4961284,53.139268,320.8063582,306.4270228,251.5609638,117.0174756
20000602,71.766884,64.6040523,94.1032375,69.2030517,80.1821181,53.7278118,53.2640326,320.8005679,306.4146513,251.5338631,116.9645416
20000603,72.7252571,79.6262914,95.4622641,70.4319531,80.8628398,53.9590008,53.3884246,320.7939909,306.4018245,251.5067796,116.9116238
20000604,73.6833552,94.6967426,96.7681767,71.6608326,81.5428965,54.1896652,53.5124175,320.7866247,306.3885417,251.4797181,116.8587159
20000605,74.6411542,109.6657027,98.0202073,72.8896712,82.2222732,54.419772,53.635982,320.7784641,306.3747991,251.4526803,116.8058081
20000606,75.5986331,124.4092204,99.217496,74.1184518,82.9009554,54.6492892,53.7590898,320.769505,306.3605936,251.425668,116.752891
20000607,76.5557785,138.8421757,100.3590869,75.3471623,83.578934,54.8781893,53.8817163,320.7597469,306.3459256,251.3986863,116.6999585
20000608,77.5125875,152.9205691,101.4439254,76.5757973,84.2562067,55.1064507,54.0038427,320.7491945,306.3308007,251.3717446,116.6470095
20000609,78.4690664,166.6355971,102.470856,77.804355,84.9327776,55.3340573,54.1254551,320.737857,306.3152284,251.3448566,116.5940469
20000610,79.425229,180.0037378,103.4386219,79.032824,85.6086552,55.560996,54.2465425,320.725746,306.299221,251.3180379,116.5410762
20000611,80.3810936,193.0564713,104.3458678,80.261149,86.2838508,55.7872549,54.3670949,320.7128739,306.2827913,251.2913046,116.4881036
20000612,81.3366809,205.8317994,105.1911464,81.4900821,86.958376,56.012822,54.4871021,320.6992525,306.2659511,251.2646721,116.4351345
20000613,82.2920128,218.3684137,105.9729299,82.7184017,87.6322425,56.2376841,54.6065525,320.6848921,306.2487113,251.238154,116.3821728
20000614,83.247111,230.702536,106.6896265,83.9467707,88.305461,56.4618261,54.725433,320.6698012,306.2310807,251.2117622,116.3292208
20000615,84.2019968,242.867036,107.3396025,85.1751579,88.9780408,56.6852311,54.8437284,320.6539867,306.2130661,251.1855063,116.2762789
20000616,85.1566905,254.8922609,107.9212109,86.4035595,89.6499902,56.9078803,54.9614217,320.6374536,306.1946727,251.1593944,116.2233455
20000617,86.1112116,266.8079717,108.4328265,87.6319787,90.3213164,57.1297533,55.0784948,320.6202057,306.1759045,251.133433,116.170418
20000618,87.0655789,278.645798,108.8728892,88.8604201,90.992026,57.3508287,55.1949286,320.6022463,306.1567649,251.1076279,116.1174929
20000619,88.0198111,290.441705,109.2399546,90.0888891,91.6621254,57.5710847,55.3107035,320.5835786,306.1372568,251.081985,116.0645666
20000620,88.9739261,302.2380591,109.5327539,91.3173909,92.3316209,57.7904989,55.4258,320.564206,306.1173838,251.0565098,116.0116357
20000621,89.9279419,314.084981,109.7502618,92.5459312,93.0005193,58.0090492,55.540199,320.5441328,306.0971499,251.0312089,115.9586973
20000622,90.8818765,326.0407343,109.8917739,93.7745161,93.668828,58.2267139,55.653882,320.5233644,306.0765603,251.0060896,115.9057496
20000623,91.8357481,338.1708929,109.9569918,95.0031528,94.3365553,58.4434722,55.7668319,320.501908,306.0556219,250.9811609,115.8527924
20000624,92.7895751,350.5459699,109.9461145,96.231849,95.0037105,58.6593043,55.8790327,320.4797727,306.0343433,250.9564335,115.7998269
20000625,93.7433756,3.237097,109.8599343,97.4606133,95.6703038,58.8741913,55.9904699,320.4569693,306.0127349,250.9319197,115.7468561
20000626,94.6971668,16.3093428,109.6999324,98.6894542,96.3363457,59.0881149,56.1011299,320.4335103,305.9908087,250.9076331,115.6938844
20000627,95.6509642,29.8125089,109.4683722,99.9183801,97.0018466,59.3010572,56.2109998,320.4094101,305.968578,250.8835889,115.6409174
20000628,96.6047801,43.7699714,109.1683824,101.1473974,97.666815,59.5129999,56.3200669,320.3846835,305.9460571,250.8598028,115.5879612
20000629,97.5586209,58.1674327,108.8040245,102.3765091,98.3312552,59.7239223,56.4283168,320.3593449,305.9232591,250.8362891,115.5350207
20000630,98.5124849,72.9449851,108.380339,103.6057116,98.9951633,59.9337997,56.5357314,320.3334057,305.9001941,250.8130591,115.4820973
20000701,99.46636,87.9966505,107.9033657,104.8349932,99.6585275,60.1426018,56.642287,320.3068727,305.8768674,250.790119,115.4291875
20000702,100.4202257,103.1802778,107.3801335,106.0643351,100.3213385,60.3502932,56.7479557,320.2797489,305.8532802,250.7674699,115.3762828
20000703,101.3740574,118.3369972,106.8186172,107.2937144,100.9835961,60.5568367,56.8527074,320.2520356,305.8294316,250.7451112,115.323373
20000704,102.3278324,133.3151009,106.2276565,108.5231098,101.6452937,60.7621979,56.9565147,320.2237365,305.8053228,250.7230433,115.2704492
20000705,103.2815354,147.9911338,105.6168333,109.7525055,102.3064186,60.9663479,57.0593553,320.1948603,305.7809598,250.7012711,115.2175075
20000706,104.2351613,162.2826089,104.9963098,110.9818933,102.9669653,61.1692645,57.1612135,320.1654212,305.7563539,250.6798047,115.1645491
20000707,105.1887137,176.1507514,104.3766319,112.2112714,103.6269366,61.3709305,57.2620782,320.1354376,305.7315206,250.6586574,115.1115796
20000708,106.1422029,189.5953174,103.7685102,113.4406419,104.2863404,61.571331,57.3619402,320.1049294,305.7064764,250.6378442,115.0586058
20000709,107.0956429,202.6451507,103.1825924,114.6700087,104.9451868,61.7704508,57.4607902,320.0739158,305.6812374,250.6173787,115.0056339
20000710,108.0490497,215.3478395,102.6292415,115.8993758,105.6034857,61.9682735,57.5586173,320.0424142,305.6558178,250.5972727,114.9526684
20000711,109.0024401,227.7606218,102.1183337,117.1287465,106.2612465,62.1647806,57.6554091,320.01044,305.6302295,250.577536,114.8997119
20000712,109.9558312,239.9434787,101.6590838,118.3581238,106.9184775,62.3599518,57.7511511,319.9780067,305.6044829,250.5581761,114.8467651
20000713,110.9092401,251.9545427,101.2599093,119.5875095,107.5751862,62.553765,57.8458273,319.9451262,305.5785862,250.5391989,114.793827
20000714,111.8626839,263.8475544,100.9283332,120.8169048,108.2313792,62.7461963,57.9394201,319.911809,305.5525465,250.5206086,114.7408952
20000715,112.8161801,275.6709701,100.6709302,122.0463108,108.8870625,62.9372204,58.0319109,319.8780646,305.5263698,250.5024083,114.6879664
20000716,113.7697462,287.4683274,100.4933103,123.2757286,109.5422423,63.1268117,58.1232809,319.8439024,305.5000618,250.484601,114.6350369
20000717,114.723401,299.2794962,100.4001381,124.5051597,110.1969248,63.314944,58.213511,319.8093318,305.4736284,250.4671894,114.5821033
20000718,115.6771637,311.1424708,100.3951782,125.7346066,110.851117,63.5015911,58.3025828,319.774363,305.4470759,250.4501769,114.5291626
20000719,116.6310545,323.0953478,100.4813619,126.9640726,111.5048267,63.6867272,58.3904781,319.739007,305.4204116,250.4335675,114.4762126
